summ_type,split,example_id,summ_a,summ_b,bs_score
ref,test,33,"Highly recommended hotel that you will want to come back to because it is definitely five-star. The hotel is only a minute from the beach in both directions. The hotel also has a rooftop pool with a view of the sea too. The hotel is located near to the Port Olympic and Barcelonetta. There is also a fitness park a two minute walk away. The hotel room had a good bathroom, but the pillows and linen were a bit uncomfortable. The bed was a good size and there was a large TV, WiFi etc. The room was specious and clean and also had a sea view. The food was really good here especially the breakfast. Sometimes the restaurant did not open for dinner but the chef would be flexible for a small party, which is great. The pools were a great addition to this hotel as well at the fitness centre. There's even a Jacuzzi on the rooftop, which was really fun.","

It is strongly suggested that you stay at this hotel, as it offers a five-star experience that will make you want to return. The hotel is located a mere minute away from the beach in both directions. The hotel additionally features a rooftop swimming pool with a scenic outlook of the ocean. The hotel is situated close to Port Olympic and Barcelonetta. It is possible to reach a fitness park within two minutes by walking. The bathroom in the hotel room was satisfactory, however the pillows and sheets were not as comfortable as desired. The bed was of a satisfactory size and there was a sizable television, internet access, and so forth. The room was spacious, tidy, and it boasted a stunning view of the ocean. The edibles served here were particularly delicious, especially the morning meal. Occasionally, the eatery would not be available for dinner, however the cook would be accommodating for a small gathering, which is wonderful. The pools as well as the fitness centre were a fantastic addition to the hotel. The rooftop had a Jacuzzi, and it was a blast.",0.7085497
ref,test,34,The hotel was great and comes highly recommended. The hotel is close to transport networks. The modern rooms were really clean. What really stood out was the thermostat that controls the heat and coolness of the room. The complimentary breakfast provided by the hotel was substandard. The hotel has a thermostat control.,"

The hotel was excellent and is worthy of a high recommendation. The hotel is situated near public transportation routes. The contemporary accommodations were exceptionally tidy. What was especially noteworthy was the thermostat that regulated the temperature of the room. The free breakfast given by the hotel was not up to standard. The hotel has a temperature regulator.",0.8085659
ref,test,35,"It's a good hotel and would definitely recommend as well as return for another stay. The hotel is in a perfect location in the old quarter of Istanbul. The hotel is within minutes of the Blue Mosque and the Grand Bazaar, along with many other traditional and historic places in Sultanahmet. The rooms here are cosy and on the small side but always very clean and comfortable enough. The staff were knowledgeable about the local area. The breakfast was fit for a king so that's definitely recommended. There was nothing not to like especially with breakfast on an open terrace. The hotel provides complimentary internet access in the reception.","

I would highly suggest this hotel and would absolutely come back for another visit. The hotel is situated in an ideal spot in the historic district of Istanbul. The hotel is located close to the Blue Mosque and the Grand Bazaar, in addition to numerous other traditional and historic sites in Sultanahmet. The rooms here are snug and somewhat cramped, yet always spotless and sufficiently cozy. The personnel had a good understanding of the vicinity. The breakfast was so sumptuous it could have been served to a monarch, so it is highly recommended. Everything about it was enjoyable, especially having breakfast outside on the terrace. The hotel offers free internet connection in the lobby.",0.72481525
ref,test,36,"The price of staying at this hotel was reasonable. The hotel is located in the city centre and right next to a canal. The rooms of the hotel can be small and with little beds. The rooms are good value and are clean and well furnished. The continental breakfast was a bit limited but it did taste great and it was provided by the hotel for free. The hotel did provide free internet access. However, be warned of the steep stairs if you have heavy luggage. The hotel is gay friendly, but there are homosexual pornographic materials left out in public areas.","

The cost of lodging at this hotel was fair. The hotel is situated in the downtown area and directly adjacent to a waterway. The accommodation in the hotel may be cramped with tiny beds. The rooms offer a great deal and are immaculate and tastefully decorated. The selection of food at the continental breakfast was somewhat limited, but it was of excellent quality and provided complimentary by the hotel. The hotel gave out free internet service. Be aware that if you have a lot of baggage, the stairs are quite steep. The hotel embraces and welcomes people of all sexual orientations, however there are explicit homosexual pornographic materials located in open spaces.",0.71176416
ref,test,37,"The hotel is situated about five minutes away from the airport and offers a free shuttle service to the downtown area at twenty minutes past the hour. The two-bedroom suite in this hotel was stunning and really impressive. There were lots of nice features such as granite worktops, marble flooring, stainless steel appliances for guest use, and the bathroom featured Jacuzzi tubs and a really big walk-in shower. The breakfast passes only included the fruit and bread. The parking facility at the hotel cost $18 which is expensive, and the water at the hotel was discoloured and riddled with seaweed.","

The hotel is located a short distance from the airport and provides a complimentary shuttle to the city center every twenty minutes. The two-bedroom suite in this hotel was absolutely breathtaking and truly remarkable. The house was outfitted with a variety of luxurious amenities, including granite countertops, marble flooring, stainless steel appliances, a Jacuzzi tub, and a spacious walk-in shower in the bathroom. The breakfast passes only included fruit and bread items. The parking at the hotel was quite expensive at a cost of $18, and the water was not very appealing as it was discoloured and had seaweed in it.",0.7498447
ref,test,38,"This lovely and charming hotel can be busy during September time. This hotel is nicely located in quiet neighborhood and also close to the best things to do in Venice. The room were clean but it seems more like a dorm than a hotel room. You need to spend extra 20 euro for an upgrade. Very friendly owners. While the breakfast is basic here the breakfast area is quite small and it gets filled up fast, there are lots of places near by; the staff will even make a reservation for you. The local boat trip to Murano is worth it but the advice would be to go on the normal boat.","

This delightful and attractive hotel can be bustling during the month of September. This hotel is situated in a peaceful area, yet still close to the top attractions of Venice. The space was tidy but it had the feel of a college dormitory rather than a hotel room. You need to put in an additional 20 euro for a better version. The proprietors were exceedingly amiable. The breakfast offered here is simple, but the breakfast area is quite small and fills up quickly. However, there are plenty of other places nearby and the staff is willing to make a reservation for you. Taking a journey by boat to Murano is a worthwhile experience, but it is recommended to go on the standard boat.",0.7386163
ref,test,39,The hotel is a tranquil escape from the bustle of the Old Town. It is decorated in a modest and antiquated fashion. If you ask at this hotel you can get an amazing room with a sea-view. The bathroom seems updated and features a really great pressure shower. The continental-style breakfast was really good and served on the rooftop terrace. There are really great views at this hotel. Additionally found that their slippers are really comfortable and don't feel cheap.,"

The hotel provides a peaceful retreat from the hustle and bustle of the Old Town. It is adorned in a humble and old-fashioned way. If you inquire at this hotel, you can obtain a terrific room with a view of the ocean. The bathroom looks modern and has an amazing shower with excellent water pressure. The meal served on the rooftop terrace was a real treat and had a continental flair. This hotel has some amazing scenery. It was also discovered that the slippers are incredibly comfortable and do not give off a low-quality vibe.",0.71709704
ref,test,40,"The hotel is particularly good value for money. The location is central and close to the City Hall. There is also a Burger King and a 7 Eleven convenience store nearby. The rooms in the hotel were clean but the decor was a little outdated and the rooms were too cold. The buffet breakfasts and dinners in this hotel is absolutely superb and there is even an a la carte lunch option. If that wasn't enough there is a great bar on the ground floor with really good tasty food, too. The internet provided at the hotel was of poor quality because it was so unreliable and you had to put a down-payment just to connect. However, there is a pool here at the hotel and that's really clean and of good quality.","

The hotel is especially economical. The spot is in the heart of the city and not far from the City Hall. In addition, a Burger King and a 7 Eleven are in the vicinity. The hotel rooms were tidy, but the style of the decor was a bit out of date and the temperature was too low. The food offered at the hotel's buffets for breakfast and dinner is outstanding, and there is even an à la carte lunch option. If that wasn't enough, there is a fantastic bar on the lower level that serves delicious food. The internet access available at the hotel was substandard due to its unreliability and the requirement of a deposit to connect. Nevertheless, the hotel offers a pristine and high-quality pool.",0.71072316
ref,test,41,"The hotel's furnishings is a bit outdated and need updating but it was very clean. This hotel has great central location; it is very close to many attractions, like MRT, Clarke Quay , and the National Museum. The bed was comfortable and the full size bath was a nice bonus. The isolation is bad so the elevator and neighbor speaking could be heard very clearly. The other downside is the lack of style and no wifi in the room. Disappointing breakfast. Very limited choices with no fresh fruit. This hotel has a very small pool.","

The furniture in the hotel is a bit old-fashioned and could use some updating, however it was spotless. This hotel is ideally situated; it is within easy reach of many sights, such as the MRT, Clarke Quay, and the National Museum. The bed was cozy and the full-sized bathroom was an added perk. The solitude was detrimental, so the sound of the elevator and conversations between neighbors were quite audible. The other disadvantage is the absence of fashion and no internet access in the room. I was let down by my breakfast. There are hardly any options available and no fresh fruit. This hotel has a very diminutive pool.",0.73915017
ref,test,42,"This hotel may not be the right option for some. The hotel is only a five minute walk from the Town Hall rail station and you can also walk to shopping and tourist attractions from the hotel. The hotel is also close to Darling Harbour. The corner-room was of an okay size and really cleaned to a high level. Check-in to your room can be earlier if you ask. The staff were quite nice overall but sometimes seemed to be put off and lacking. The breakfast provided by the hotel was Continental., but there were problems with not being on the necessary list. The hotel's restaurant was good., but slightly expensive. The hotel were very helpful with pre-booking information, but check out of the stay was drawn out and frustrating.","

This hotel might not be suitable for certain people. The Town Hall rail station is just a five minute stroll away from the hotel, and you can also take a leisurely walk to nearby shopping and sightseeing spots. The accommodation is situated near Darling Harbour. The corner-room was of an acceptable size and spotlessly clean. If you request it, you may be able to check into your room earlier. The personnel were generally friendly, yet occasionally appeared to be disinclined and not as attentive. The hotel had a Continental breakfast available, however, some people were not able to access it due to not being on the necessary list. The eatery at the hotel was satisfactory, yet somewhat pricey. The hotel staff was quite accommodating when it came to supplying details about the reservation, but the process of checking out was lengthy and irritating.",0.6176001
ref,test,43,"This is a perfect hotel for a short stay and highly recommended because of the great value for money. The hotel is in a great location if you're looking to visit the Musee d'Orsay or Saint Germain area . Firstly the rooms are designed to be really unique and it shows, but this doesn't compromise the plethora of mod-cons supplied such as iPod dock, minibar, a flat-screen television. There is nothing you could need that isn't available. Whilst very lux inside the room it's very relaxing and charming. The staff at this hotel are really caring with a great attitude. The breakfast provided by the hotel was suitable stocked with fresh, organic produce and there was plenty of food available. The ticket provided by the hotel allows for skipping the line at designated venues.","

This hotel is ideal for a quick getaway and is highly praised for its excellent value for money. If you're planning to explore the Musee d'Orsay or Saint Germain area, the hotel is situated in an ideal spot. At first glance, the rooms are designed to be very distinctive and it is evident, however, this does not mean that the many modern amenities such as an iPod dock, minibar, and flat-screen television are not provided. Nothing that you require is unavailable. The interior of the room is quite luxurious, yet it still has a calming and inviting atmosphere. The personnel at this accommodation are very considerate and have a wonderful demeanor. The hotel's breakfast was well-supplied with fresh, organic items and there was a plentiful amount of food. The hotel's ticket grants access to bypass the queue at certain locations.",0.68232095
ref,test,44,"After booking directly with the hotel it was really impressive and made for a very special weekend. This is the place to be. The hotel was situated close to a metro station, allowing travel to the restaurants of Old Montreal and within walking distance of the Montreal Jazz Festival. The rooms are adequately sized but are clean and with elegant furnishings. The rooms retain some history from its previous incarnation as a bank. The rooms have free WiFi available with lovely modern art too. The hotel has a good bar that is ideal for relaxing whilst listening to some live music. The hotel had no street noise at all and on Friday and Saturday evenings there was a music group playing at the bar area.","

Booking directly with the hotel proved to be a great decision as it made for an extraordinary weekend. This is the spot to be. The hotel was located near a subway stop, providing access to the eateries of Old Montreal and within a short walk of the Montreal Jazz Festival. The rooms have a satisfactory size and are kept spotless, with tasteful decor. The rooms still have some reminders of its past life as a bank. The rooms come with complimentary WiFi access and beautiful contemporary artwork. The hotel has a great bar that is perfect for unwinding while enjoying some live music. The hotel was completely silent, but on Friday and Saturday nights there was a musical ensemble performing in the bar.",0.7068018
ref,test,45,"The hotel was a bargain and comes highly recommended. The hotel is located centrally to the main strip and generally everything is within walking distance. It is a minute's walk to beach and nearby 4th street has a selection of local restaurants too. The rooms were clean and well maintained. They were reasonably priced and the deluxe options have a balcony overlooking 5th Avenue. The staff are incredibly knowledgeable about the local area and will happily spend some time advising on the best places to see. They were even gracious enough to book taxis to the airport, which is a great touch. The hotel is near to Rancho Punto Venado, which provides facilities for many outdoor activities such as horseback riding and ATV driving","

The hotel was an excellent value and has been given glowing reviews. The hotel is situated in the middle of the main street and most places can be reached by foot. It is a short walk to the beach and there are plenty of eateries on 4th street close by. The rooms were tidy and in good condition. The cost was fair and the deluxe rooms have a balcony that overlooks 5th Avenue. The personnel are extremely well-informed about the nearby area and will gladly take some time to provide advice on the top spots to visit. They were very kind to arrange taxis to the airport, an excellent gesture. The hotel is located close to Rancho Punto Venado, which offers a variety of outdoor activities like horseback riding and ATV driving.",0.76919717
ref,test,46,"The hotel was a unique experience with traditional and modern features. A stay at the hotel comes highly recommended. The hotel is situated in an excellent location on the Grand Canal, only a couple of stops to San Marco Square and near to the Salute Church. It is close to a number of art galleries and the Vaporetto. The hotel has rooms overlooking the canal that are nice and clean. The hotel has a simple menu which can be served wherever you like. The minibar is always stocked for guests. Despite being a bit overpriced the hotel did live up to that expectation, so it was worth it.","

The hotel provided a one-of-a-kind experience, combining both classic and contemporary elements. It is strongly suggested that you book a room at the hotel. The hotel is conveniently located near the Grand Canal, just a short distance away from San Marco Square and close to the Salute Church. It is situated near several art galleries and the Vaporetto waterbus. The hotel offers rooms with a view of the canal that are both pleasant and tidy. The hotel offers a straightforward selection of dishes that can be enjoyed in any desired location. The minibar is always replenished for visitors. Although the hotel was somewhat expensive, it did meet the expectation, making it a worthwhile investment.",0.7195412
ref,test,47,"It was such a comfortable experience here at this hotel and nice bonus there was classical music that came from a nearby opera school. Excellent location for that is on a quiet street, but also allow easy reach for principal city sights; the metro and city tour bus stop are really close. Clean and large room with a great renovated bathroom. The staff are a wealth of knowledge about the nearby restaurants , side trips, which was was super helpful. The breakfast not only has lots of choice but the quality of the continental foods and drinks on offer was great. They also provide take away breakfast. No wireless internet in the rooms, only available in the lobby.","

I had a very pleasant stay at this hotel, and to top it off, there was classical music coming from a nearby opera school. This is an ideal spot that is situated on a tranquil street, yet still provides easy access to the main attractions in the city; the metro station and sightseeing bus stop are nearby. A spacious and tidy room with a newly remodeled bathroom. The personnel are incredibly knowledgeable about the eateries in the vicinity and any potential excursions, which was very beneficial. The selection of continental foods and drinks was not only plentiful but also of excellent quality. They also offer to-go breakfast. There is no Wi-Fi in the guest rooms, only in the lobby.",0.7113765
