summ_type,split,example_id,summ_a,summ_b,summ_comm,nli_contrast_ent_score
ref,test,33,"

Visiting this five-star hotel highly recommended by many would have you wanting to come back. Just a short one minute walk from the beach in either direction, the hotel also has a rooftop pool with spectacular views of the sea. Located near the Port Olympic and Barcelonetta, there is a fitness park a brief two minute walk away. Inside the room, the bathroom was of good quality; however, the bed linens and pillows were a bit uncomfortable. The bed was large, and the room had a internet, a good sized TV and a sea view. You must try the food here, particularly the breakfast, which was delectable. Although sometimes it did not open for dinner, the chef was able to accommodate a small dinner party. The pools and fitness centre were great features, with a Jacuzzi on the rooftop. Needless to say, it was a great experience.","

The hotel was reasonably priced and located in a secure neighbourhood, the area was industrial but secure, not too far from the downtown area. The guest rooms included air conditioning, a mini bar, and a scenic view of the Sagrada Familia that could use a bit of upkeep. The cleaning crew took care of the hotel and kept it spotless. Breakfast was offered every morning with a range of pastries, cheese, and breads available. The downside to the hotel were the towels in the room being slightly too stiff.","

The personnel of the hotel were very accommodating and the rooms are snug",0.021908666498532816
ref,test,34,"

The hotel was outstanding and worth the highest possible recommendation. Its proximity to transport links was a bonus, while the contemporary rooms were immaculate. The highlight was undoubtedly the thermostat that allowed the guest to customize their room temperature. Regrettably, the complimentary breakfast service was unsatisfactory. Nonetheless, the thermostat","

This hotel did not offer value for money, even though it had a desirable site along the river. The chambers were quite sizable with a wonderful outlook of the Chicago River, yet at times they had a noxious smell and the lavatories were not clean. Lastly, there was no drinks vending machine or refrigerator and the toilet tissue was low standard.","

The hotel is conveniently located, with many local attractions within walking distance. Their staff were quite hospitable, making it a great place to stay that I would definitely return to.",0.022918041345791
ref,test,35,"

I would highly recommend this hotel, particularly for its location in the old quarter of Istanbul. It's a stone's throw away from the Blue Mosque and the Grand Bazaar, and incredibly close to a variety of centuries-old sightseeing spots. The hotel rooms, despite being small, are always kept clean and tidy, and the staff are aware of the areas nearby. On top of that, the breakfast on the open-air terrace is extraordinary, so make sure to take advantage of it. Furthermore, complimentary Wi-Fi is accessible in the reception area. I would definitely stay here again.","

This hotel is ideal for both those taking a vacation and those travelling for work. Its introduction of a new standard in the hospitality industry is refreshing. Guests can take a short stroll to a selection of eateries that sit alongside a nearby park. The rooms, which give views of the Bosphorous from certain spots, are modern and affordably priced and reasonably sized. The personnel working there were mostly helpful, though there were some times where their behavior was questionable. Regrettably, though, users are charged for the dial-up service to access the web, and the gym is a bit on the small side and may","

I highly suggest staying",0.060579723769478684
ref,test,36,"

The cost of staying at this hotel was reasonable. It is located downtown and next to a canal. While the rooms are petite and the beds are smaller than usual, they are good-priced and clean with good furnishings. The continental breakfast was reasonably sized but tasted delightful and was complimentary. Also, the hotel did offer complimentary internet access for guests. Just be aware of the steep steps if you have heavy suitcases. Lastly, the hotel is gay-accommodating but be aware of homoerotic materials left out in communal spaces.","

In conclusion, the accommodation was satisfactory and this unique establishment has my endorsement. It is conveniently located for sight-seeing trips to the city as well as for tranquil strolls and jogs along the waterfront in the vicinity. The nearby eateries and delis are favourite hang-outs among locals. However, some rooms contain unenclosed toilets which could be problematic. Furthermore, guests can access WiFi connection without any charges. Unfortunately, the staff can be impolite and did not provide quality service. The cuisine at this gorgeous inn is commendable, but their glasses of wine may have steep prices.","

Certain staff members at the hotel were friendly and welcoming towards visitors.",0.046074945207533656
ref,test,37,"

This hotel is located a short five-minute drive from the airport and provides a complimentary shuttle to downtown areas every 20 minutes. The two-bedroom suite in this hotel was glorious and really astounding. It had pleasant amenities like granite countertops, marble floors, stainless-steel kitchen appliances, and the bathroom offered whirlpool baths and a large walk-in shower. Breakfast passes only implicate fruit and bread. There is a pricey parking facility at the hotel, priced at $18, plus the water has an off-putting discoloration and is filled with seaweed.","

Visiting the resort is an experience one could never forget due to its serene and inviting atmosphere. Getting to the hotel by cab was costly and a bit of a trek to Duval Street, yet worth every penny as the room featured beautiful views and lavish quilted bedding. It's to be expected that the staff here be of five-star caliber, and that was certainly the case with each one being helpful and cordial. If one's aim is to enjoy some peace and quiet, the salt pools offer just the thing to sip your favorite cocktail in privacy. Although the rates are comparatively high, the four great pools and open-air bar make this a place worth re-visiting.","

This stay at the hotel was an unforgettable experience. The rooms are neat and of ample size",0.04713436363963405
ref,test,38,"

This attractive and attractive hotel tends to be quite occupied in September. Situated in a peaceful area, it is also proximate to the many noteworthy activities in Venice. Although the accommodations are tidy, they are more like a dormitory, with an up-charge of 20 Euros for a better space. Fortunately, the landlady and landlord are exceptionally amiable, and even though the breakfast is plain, the breakfast area is small and gets quickly crowded, but there are multiple eateries nearby. Exploring Murano by boat is definitely worth it, the suggestion is to go on the usual boat trip.","

It is advisable to stay at this hotel, although its location is a bit out of the way. It is situated on the Grand Canal, across from Santa Lucia train station. The area is quiet, but still close to the attractions and boat routes. All rooms have a view of the canal, and are nicely lit and well-kept. The bathrooms have double sinks, which would be ideal for a couple. The staff are very helpful and knowledgeable, and the breakfast provided is satisfactory. The elevator at the hotel is petite, but very well taken care of.","

The personnel at the hotel are congenial and accommodating, with a delicious complimentary breakfast. The rooms may be cosy,",0.0375079041868803
ref,test,39,"

This hotel is a peaceful retreat from the hustle and bustle of the Old Town. Its decor is simple and traditional. If you inqure at the desk, you may be able to get an amazing room with a stunning ocean view. The updated bathroom boasts an excellent shower with high water pressure. Thecontinental-style breakfast was tasty and served on the rooftop. Plus, the views from this location are stunning. Furthermore, the complimentary slippers are of great comfort and quality.","

The hotel in Istanbul is run by a family, and is simplistic and tidy. The rooms have comfortable beds, and the staff speak excellent English. At breakfast time there is a large choice of food, along with a pleasant overall atmosphere. The hotel is going to be even greater once improvements to the rooftop terrace are concluded.","

The hotel is located conveniently near all of the popular attractions and is highly recommended. The staff are extremely welcoming and more than happy to assist with any inquiries.",0.00877215230430006
ref,test,40,"

The hotel provides great value for money given its central positioning in the vicinity of City Hall. There is a Burger King and a 7 Eleven convenience store in the neighbourhood, as well. Cleanliness in the rooms is adequate, though they have an old-fashioned design and temperatures can be cold. Their buffet breakfast and dinner are exceptional, and an a la carte lunch menu is available. Moreover, the ground floor sports a well-répute bar with delightful cuisine. Unfortunately, the supplied internet connection is unreliable and requires an additional deposit, but the pool is of excellent quality and immaculate state.","

This amazing hotel will leave you astonished due to its grandeur and excellence. You will be eager to come back if you have the pleasure of staying here. The spot is excellent specifically because of the easy access to the metro station on foot. The rooms were satisfactory, though the lavatory, bed, and television were located upstairs. The complimentary bubbly during tea helped to compensate for the lacklustre cuisine. The facade of Fullerton Hotel is especially gorgeous after dark.","

The hotel is conveniently situated in proximity to the MRT. The employees here provide exemplary client service, being always hospitable and willing to provide tips if requested.",0.01799723334600756
ref,test,41,"

The hotel is a bit outdated and could use some updating, yet it was tidy. The great thing about this accommodation is its prime spot, close to many spots, like the MRT, Clarke Quay, and the National Museum. The bed was comfortable and it included a full-size bath, but the sound isolation was poor enabling one to hear the elevator and neighbors clearly. As well, the decor was dull, and the rooms provided no wifi. The breakfast spread was disappointing and had limited dishes, with no fresh fruits. It also had a tiny pool.","

This hotel is an impressive example of a 'Las Vegas style' building that is connected to a shopping centre and convention centre. It's a great location, but if you're looking for a more intimate spot to stay in Singapore, it wouldn't be the top choice. The club room was a treat but it can get quite loud due to the traffic, yet the decor was updated and the room spacious. The large bathroom gave an additional comfort. The competent staff was helpful and check-in/check-out was an easy and convenient process. The food served is good but a bit expensive. Live music is available at the hotel's Fuse Lounge, although the pool area is a bit packed and the foyer can be quite chaotic. All in all, the hotel is recommended.","

This hotel is within convenient proximity to the MRT and the employees provide excellent service. Plus, the rooms offer a breathtaking",0.018889183595379777
ref,test,42,"

This hotel may not be the best fit for some. It is located a short five minute stroll from the Town Hall rail station, as well as a selection of shops and attractions, and is in close proximity to Darling Harbour. The corner-room, though small in size, was sparkling clean. An early check-in can be arranged if requested with staff. Staff members were generally courteous, however some instances encountered seemed to indicate rushed or annoyed attitudes. They offer Continental breakfast, however there have been issues with not being on the required list for it. The restaurant on the premise was delicious but a bit pricey. The hotel staff was immensely helpful with pre-booking services, but checking out of the hotel was a laborious and irritating process.","

The room wasn't incredibly special, being quite diminutive and ordinary, however there was a large mattress and some pleasant toiletries at hand. The hotel boasts a breakfast buffet and you can enjoy a beverage while looking out over the marina. The internet was unfortunately not free but the rooftop pool area was rather pleasant. Additionally, the gym, although very compact in size, boasted the essentials.","

I had a wonderful experience staying at this hotel and would undoubtedly stay there again. It is highly suggested.",0.020485813601096275
ref,test,43,"

This is an ideal place to stay for a brief period and is incredibly good value. If you're wanting to go to certain nearby attractions, such as the Musee d'Orsay or Saint Germain, then the hotel's location is right up your alley. Inside, the rooms are wonderfully unique, without forfeiting all the amenities, like an iPod dock, minibar, and flat-screen TV. Not to mention the wonderful, soothing atmosphere the hotel provides. The staff are very helpful and pleasant, and breakfast is stocked with an abundance of fresh, natural groceries. Furthermore, guests can avoid long lines at certain sights with the ticket that comes with the hotel.","

My stay at the hotel was truly wonderful and an unforgettable experience. The location was delightful, situated on a street surrounded by trees which was popular with local people. The room had a beautiful view of the waterway, with a rotunda and Stalingrad station behind. It was a decent size, with a large restroom, yet it didn't have a bath. The bedroom was pleasant, clean and tidy with a comfortable bed. The workers at the hotel were a mix of helpful and unprofessional. It offered uncomplicated French cuisine with a backdrop of the canal, and it was noted that the hot items for breakfast ran out quite quickly. Additionally, there was secure parking underneath the building. A notice should be taken to the fact they one of the elevators may not be functioning, so it takes additional time to use the other one.","

The hotel is situated in an excellent spot, conveniently located near the metro system, and it is highly praised",0.015591203032839198
ref,test,44,"

Booking directly with the hotel provided a truly remarkable experience that surely made for a memorable weekend. Located near a metro station, it was convenient to explore the eateries of Old Montreal, while also being within walking distance of the Montreal Jazz Festival. Each room was of acceptable size and featured spotless decor with sophisticated furnishings, as well as containing some historic artifacts from its former existence as a bank. WiFi was provided for free, and the delightful modern artwork really stood out. Additionally, the bar was great for unwinding with some live music, and there was no external noise from the street. Plus, on Friday and Saturday nights, an entertaining music group could be heard in the bar area.","

This hotel is an ideal choice for any kind of getaway, located right in the shopping district of Montreal. It is in close vicinity of McGill University and Ogilvy, a safe part of the city. The rooms were outfitted with great features like an iPod docking station, a pressure shower, DVD player, flat screen TV and Jacuzzi tub in the bathroom - giving it a luxurious yet comfortable feel. Room service provided a very tasty breakfast. And for any guests who drove there, the hotel had a garage for their car. All in all, the hotel never fails to impress.","

The personnel at the hotel were attentive to",0.03643117805404467
ref,test,45,"

Located near the main strip, this hotel offers a great value and comes highly recommended. Taking only a minute's walk to the beach, 4th street also has a selection of local restaurants within walking distance. The rooms are spotless and well taken care of, with deluxe options featuring a balcony that overlooks 5th Avenue. The staff are incredibly welcoming, taking the time to dive into the local area and suggest the best places to explore. Additionally, the hotel is close to Rancho Punto Venado, which offers a vast array of outdoor activities, such as horseback riding and ATV driving. Moreover, they will even go the extra mile and help book taxis to the airport upon request.","

The hotel is located close to the tram system and offers an incredible seascape view. If you are looking for a tranquil place to stay, this is the ideal place for you. One of the rooms is the Suite, which is unbelievably grand. Although the employees were possibly warm and welcoming, the requests of the guests weren’t necessarily met rapidly. The hotel dining has a delicious selection of dishes, although not all of them are customary to the area. Furthermore, internet is available for visitors. There is a swimming pool and some seating space around it. If you upgrade to a Casitas you can get to see the ponds","

The hotel is in an excellent spot and the personnel are both courte",0.011420426525517256
ref,test,46,"

Staying at this hotel was a truly exceptional experience, since it had traditional and modern features combined. Guests are recommended to visit the hotel, which is situated conveniently by the Grand Canal and a few stops away from San Marco Square and the Salute Church. The area nearby also offers countless art galleries and the Vaporetto. The rooms that look out onto the canal were very clean. As for food, the hotel provides a simple menu that can be enjoyed wherever you like, along with the fully stocked minibar. It came at a bit of a price yet it was definitely worth it.","

This exquisite hotel may just be one of the best available. Every room is decorated in Venetian style with modern design elements, such as TVs set into the mirrors. The top room has a skylight window which adds peace and tranquility. The breakfasts here are made to order and can be savoured on the terrace. The hotel has been carefully considered right down to the placement of plug sockets and the light switches. It certainly lives up to its high standards and quality.","

The staff provided excellent assistance to",0.018769545524264634
ref,test,47,"

This hotel was a blissful experience with the addition of classical music coming from an opera school nearby. Its location was tranquil yet still allowed easy access to the major city sights; both the metro and city tour bus stops were close by. The room was roomy and newly renovated with a fantastic bathroom. The staff were all knowledgeable about restaurants in the area and gave excellent advice on day trips. The provided buffet breakfast had plenty of options and the quality of the continental food and drinks was top-notch. They also allowed guests to grab a go breakfast. Unfortunately, there was no access to wifi in the rooms, only in the lobby.","

This hotel has a wonderful setting for sightseeing around the city and there are many local shops and restaurants close by. Additionally, the complex is enhanced by the vibrant orange trees in the area. The rooms are pleasing, although sound can be an issue due to doors being opened and shut. Furthermore, the breakfast is good with fairly tasty options including recommended scrambled eggs. It is worth considering bringing earplugs if you are a light sleeper as the bells from the local church may be disruptive. Despite this, it could be argued that the hotel lacks some personal touches and may be overrated.","

The hotel rooms are in pristine condition and the personnel are warm",0.015191011175656095
